오더번호,개수: Sku Code,합계: 수량의 부피,B2C구분
723030605109,3,137.415,B2C
723030606434,3,112.92779999999999,B2C
723030700748,3,111.1428,B2C
723030700595,5,109.727568,B2C
723030607895,4,109.42514,B2C
723030608150,3,102.865056,B2C
723030605129,5,98.748621,B2C
723030700986,3,97.336096,B2C
723030605867,3,97.061688,B2C
723030606013,3,95.98085999999999,B2C
723030606445,2,94.33500000000001,B2C
723030607785,4,93.19374599999999,B2C
723030702673,2,92.186688,B2C
723030701458,3,92.102592,B2C
723030606238,4,92.004752,B2C
723030607372,6,91.40617999999999,B2C
723030703549,4,89.28188999999999,B2C
723030703598,3,89.23570000000001,B2C
723030700551,3,88.485012,B2C
723030701952,2,88.1511,B2C
723030702430,1,86.7504,B2B
723030605223,3,84.957488,B2C
723030700602,5,84.43712,B2C
723030607529,7,83.059528,B2B
723030608179,7,83.059078,B2C
723030606092,11,82.56929,B2C
723030702213,5,82.003288,B2C
723030606493,4,81.377338,B2C
723030701301,2,81.22,B2C
723030605026,2,77.512,B2C
723030700753,7,77.054981,B2C
723030701235,2,76.41229799999999,B2C
723030700279,4,76.31359599999999,B2C
723030607157,4,75.097879,B2C
723030605952,2,73.8672,B2C
723030607356,2,73.6927,B2C
723030606130,2,73.35061,B2C
723030600160,2,73.07849999999999,B2C
723030606246,1,72.292,B2C
723030700317,1,72.292,B2C
723030607292,1,72.292,B2C
723030702087,1,72.292,B2C
723030605190,3,71.8948,B2C
723030607641,6,71.076152,B2C
723030702461,11,70.398068,B2C
723030607503,3,68.545969,B2C
723030701173,4,67.656688,B2C
723030703437,7,67.531451,B2C
723030604986,7,66.08025599999999,B2B
723030606451,6,65.982125,B2C
723030700138,2,65.4768,B2C
723030702365,5,65.119392,B2C
723030702349,20,64.930816,B2B
723030607171,5,64.566908,B2C
723030608446,3,63.7586,B2C
723030702370,6,63.742784,B2C
723030703707,5,63.686949999999996,B2C
723030702613,2,62.76864,B2C
723030703459,4,61.68055,B2C
723030700654,6,61.299606,B2C
723030606586,2,61.1556,B2C
723030701398,4,60.755455999999995,B2C
723030606908,7,60.088235000000005,B2C
723030605395,5,59.98576,B2C
723030606392,5,59.1998,B2C
723030608330,1,57.8336,B2C
723030700892,9,57.820628,B2C
723030701869,5,57.410039999999995,B2C
723030606077,6,56.510971999999995,B2C
723030701003,6,56.39118,B2C
723030607468,7,56.117076000000004,B2C
723030606242,15,55.836407,B2C
723030701824,2,54.91674,B2C
723030702243,5,54.801636,B2C
723030703229,5,54.491002,B2C
723030702292,5,54.121567999999996,B2C
723030701394,4,53.9932,B2C
723030700796,5,53.359505999999996,B2C
723030702279,4,53.320857,B2C
723030701318,2,53.316912,B2C
723030701341,2,53.316912,B2C
723030701093,4,52.8562,B2C
723030702234,3,52.4542,B2C
723030703406,2,52.43568,B2C
723030702101,2,52.029199999999996,B2C
723030606347,10,51.65674,B2B
723030700594,4,51.162881999999996,B2C
723030607648,7,50.814994,B2C
723030702976,3,50.642768000000004,B2C
723030701638,3,50.371295999999994,B2C
723030605229,4,49.841552,B2C
723030700693,5,49.504215,B2C
723030702819,4,49.475869,B2C
723030701954,3,49.407551999999995,B2C
723030606345,2,49.164192,B2C
723030701771,4,48.934496,B2C
723030606476,2,48.811488,B2C
723030703014,5,48.312788,B2C
723030607130,9,48.175917999999996,B2C
723030703649,5,48.088998,B2C
723030606925,4,47.982233,B2C
723030700360,6,47.864062,B2C
723030701118,6,47.838284,B2C
723030608302,2,47.8302,B2C
723030701358,7,47.825396,B2C
723030605285,6,47.761545999999996,B2C
723030700332,4,47.581688,B2C
723030605624,5,47.532674,B2C
723030606620,10,47.053051999999994,B2C
723030606851,3,46.418496,B2C
723030608132,9,46.188662,B2C
723030702337,2,46.09248,B2C
723030702505,4,46.06295,B2C
723030606307,3,45.905169,B2C
723030700715,6,45.75439,B2C
723030605925,3,45.617169000000004,B2C
723030607802,2,45.6027,B2B
723030702450,4,45.413054,B2C
723030702720,12,45.396423999999996,B2C
723030703227,4,45.102954,B2C
723030606401,8,44.652186,B2C
723030605338,6,44.571695999999996,B2C
723030703562,8,44.267381,B2C
723030702228,6,44.161531999999994,B2C
723030607244,3,44.151849999999996,B2C
723030606282,5,43.944992,B2C
723030702748,2,43.918369,B2C
723030701420,2,43.876,B2C
723030607433,1,43.3752,B2C
723030605194,1,43.3752,B2C
723030605675,4,43.185756,B2C
723030703681,2,42.99264,B2C
723030605904,5,42.967217,B2C
723030605315,7,42.831454,B2C
723030608404,6,42.476783999999995,B2C
723030701806,5,42.350491,B2C
723030608639,7,42.216927999999996,B2C
723030702355,4,42.043791999999996,B2C
723030702833,6,42.029579,B2C
723030608594,9,42.028284,B2C
723030606489,5,41.672114,B2C
723030701248,9,41.671537,B2C
723030700756,5,41.63485,B2C
723030606612,6,41.390784,B2B
723030700955,8,41.367952,B2C
723030702389,3,41.363008,B2C
723030703761,8,41.24352,B2C
723030608258,6,40.758365,B2C
723030702967,3,40.64864,B2C
723030605411,2,40.601,B2C
723030606868,5,40.426795999999996,B2C
723030701588,3,40.128192,B2C
723030703709,6,40.005497,B2C
723030701677,10,39.838938,B2C
723030701268,5,39.789376,B2C
723030702698,1,39.199999999999996,B2C
723030702351,4,39.129999999999995,B2C
723030703279,4,39.068719,B2C
723030702693,2,39.046656,B2B
723030703133,5,38.4747,B2B
723030605136,3,38.22714,B2C
723030605203,2,37.951871999999995,B2C
723030701509,11,37.94767,B2C
723030606186,5,37.829175,B2C
723030700632,9,37.774222,B2C
723030608549,4,37.601974999999996,B2C
723030701051,17,37.597941999999996,B2C
723030700620,6,37.479149,B2C
723030700645,4,37.2934,B2C
723030608228,4,37.14685,B2C
723030700257,5,37.080096,B2C
723030703210,8,36.93658,B2C
723030700412,3,36.897408,B2C
723030701199,4,36.87405,B2C
723030702870,2,36.684,B2C
723030606180,2,36.62975,B2B
723030606464,4,36.5423,B2C
723030702697,5,36.351032,B2C
723030701564,2,36.287204,B2C
723030607041,2,36.24192,B2C
723030608502,2,36.23015,B2B
723030702218,5,36.170533,B2C
723030606732,1,36.146,B2C
723030607451,1,36.146,B2C
723030702439,3,36.0193,B2C
723030703207,4,36.015928,B2C
723030701602,3,35.996992,B2C
723030701309,4,35.987392,B2C
723030608381,4,35.972646,B2C
723030607505,3,35.8373,B2C
723030701317,2,35.808175,B2C
723030700346,6,35.74607099999999,B2C
723030702598,6,35.583740999999996,B2B
723030703426,4,35.237156,B2C
723030608007,7,35.14192,B2C
723030703605,5,35.055465999999996,B2C
723030605219,6,34.906769999999995,B2C
723030703604,7,34.860732,B2C
723030703584,3,34.767088,B2C
723030701299,4,34.675827999999996,B2C
723030702507,6,34.67302,B2C
723030702951,7,34.624916,B2C
723030700828,3,34.407184,B2C
723030700970,9,34.26018,B2C
723030700523,6,34.239054,B2C
723030701948,2,34.23805,B2C
723030607110,1,34.125,B2C
723030700036,3,34.085392,B2C
723030701525,6,33.80348,B2C
723030607150,2,33.791799999999995,B2C
723030608064,5,33.760571999999996,B2C
723030700251,4,33.6531,B2C
723030608590,5,33.578592,B2C
723030700281,8,33.392176,B2C
723030606890,2,33.3036,B2B
723030703590,4,33.177887999999996,B2C
723030608640,2,32.8876,B2C
723030700487,5,32.782464,B2C
723030605164,3,32.50294,B2C
723030700193,4,32.448527,B2C
723030703002,4,32.375175999999996,B2C
723030701629,2,32.3468,B2C
723030701787,3,32.273296,B2C
723030700090,8,32.141459999999995,B2C
723030700599,5,32.130804999999995,B2C
723030701529,5,32.042049999999996,B2C
723030604994,6,32.011467,B2C
723030608385,4,31.994646,B2C
723030608147,9,31.964014,B2C
723030700457,6,31.96124,B2C
723030606757,6,31.912899999999997,B2C
723030702692,3,31.767083999999997,B2C
723030608383,3,31.683825,B2B
723030703486,4,31.586170999999997,B2C
723030606559,4,31.558902999999997,B2C
723030608370,4,31.275722,B2C
723030605818,6,31.065116,B2C
723030703695,9,30.994472000000002,B2C
723030605298,3,30.993688,B2C
723030700987,5,30.733536,B2C
723030700216,2,30.728896,B2B
723030607730,5,30.715595,B2C
723030605307,6,30.697357999999998,B2C
723030608508,5,30.68688,B2C
723030602833,5,30.647016999999998,B2C
723030606794,6,30.576151,B2B
723030703750,4,30.568156,B2C
723030606226,5,30.374512,B2C
723030700065,4,30.335712,B2C
723030702157,3,30.115359,B2C
723030608572,6,29.9691,B2B
723030607925,5,29.840666,B2C
723030701166,4,29.828688,B2C
723030702465,2,29.812096,B2C
723030703422,2,29.7335,B2C
723030702485,6,29.704421,B2C
723030702053,10,29.597336,B2C
723030701996,6,29.557926,B2C
723030604862,2,29.459968999999997,B2B
723030701326,6,29.308532,B2C
723030608247,3,29.300575,B2C
723030703250,9,29.259320000000002,B2C
723030701033,5,29.22685,B2C
723030702726,7,29.207103999999998,B2C
723030606056,2,29.19456,B2B
723030701539,7,29.163493,B2C
723030608418,4,29.112292,B2C
723030700981,4,29.088375999999997,B2C
723030701918,2,29.083399999999997,B2C
723030700701,3,28.987499999999997,B2C
723030700962,6,28.94145,B2C
723030703115,6,28.783292,B2C
723030608561,9,28.721939,B2C
723030606459,3,28.6984,B2C
723030701895,7,28.686884999999997,B2C
723030606633,7,28.679605,B2C
723030701494,2,28.578975,B2C
723030607010,5,28.517419999999998,B2C
723030607757,4,28.467395999999997,B2C
723030600443,7,28.44922,B2C
723030702187,4,28.247424,B2C
723030608333,13,28.196526,B2C
723030607740,5,28.18688,B2C
723030605986,5,28.021977999999997,B2C
723030605050,5,28.006512,B2C
723030606833,7,27.927528,B2C
723030701212,5,27.869450999999998,B2C
723030701554,8,27.863039999999998,B2C
723030701808,3,27.856175999999998,B2C
723030607265,9,27.79007,B2C
723030702056,4,27.7362,B2C
723030700664,6,27.678928,B2C
723030700480,3,27.642186,B2C
723030701170,2,27.6164,B2C
723030703645,2,27.605999999999998,B2C
723030700441,4,27.588578,B2C
723030701110,3,27.482096000000002,B2C
723030701863,2,27.435,B2C
723030606656,2,27.430656,B2B
723030605063,6,27.292302999999997,B2C
723030608363,8,27.147617,B2C
723030700300,6,27.131192,B2C
723030701886,2,26.928132,B2C
723030700810,2,26.8716,B2B
723030700949,3,26.835623000000002,B2C
723030605886,3,26.781792,B2B
723030607212,7,26.717548,B2C
723030702930,3,26.648055999999997,B2C
723030606532,7,26.605363999999998,B2C
723030606878,4,26.581784,B2C
723030605579,6,26.546824,B2C
723030608604,4,26.5135,B2C
723030606663,6,26.470944,B2C
723030700367,8,26.465521,B2C
723030608350,5,26.465392,B2B
723030702544,4,26.463869,B2C
723030608149,7,26.456587999999996,B2C
723030608544,2,26.403959999999998,B2C
723030700333,5,26.247519999999998,B2C
723030701783,6,26.1956,B2C
723030703125,2,26.182656,B2C
723030606978,5,26.132883999999997,B2C
723030701320,2,26.100544,B2C
723030607350,2,25.949483999999998,B2C
723030700592,8,25.899061,B2C
723030606566,9,25.88564,B2C
723030703164,3,25.87125,B2C
723030606177,2,25.76352,B2C
723030702357,2,25.7626,B2C
723030701785,6,25.637489,B2C
723030703119,4,25.61373,B2C
723030606630,3,25.457,B2C
723030700051,4,25.420496,B2C
723030607037,3,25.387864,B2C
723030606934,5,25.379092,B2C
723030607438,6,25.335570999999998,B2C
723030607095,2,25.311792,B2B
723030703568,3,25.264704000000002,B2C
723030702768,6,25.172652999999997,B2C
723030700478,7,25.165968,B2C
723030702421,7,25.07544,B2C
723030701232,6,24.992186,B2C
723030702840,5,24.862013999999995,B2C
723030703768,4,24.743499,B2C
723030600217,3,24.66115,B2C
723030606421,2,24.59064,B2C
723030608266,6,24.574199,B2C
723030703588,7,24.566474,B2C
723030605689,10,24.559773999999997,B2C
723030608167,4,24.421181,B2C
723030608401,5,24.3692,B2C
723030700289,5,24.348,B2C
723030608015,6,24.25807,B2C
723030607643,4,24.247935,B2C
723030606172,4,24.239268,B2C
723030701933,3,24.217776,B2C
723030701979,7,24.212815,B2C
723030700225,7,24.095848,B2C
723030605032,8,24.055326,B2C
723030701219,2,24.0341,B2C
723030606849,2,24.0185,B2C
723030703716,4,23.991855,B2C
723030605715,3,23.971120000000003,B2C
723030702885,3,23.94125,B2C
723030703009,2,23.938152,B2B
723030605877,4,23.839752999999998,B2B
723030607839,4,23.830356,B2C
723030702993,4,23.8248,B2C
723030606385,11,23.706359999999997,B2C
723030703708,3,23.680169,B2C
723030701767,4,23.61648,B2B
723030608543,4,23.5759,B2C
723030702307,4,23.565871,B2C
723030605078,2,23.538064,B2B
723030607636,5,23.51888,B2C
723030702141,4,23.482149999999997,B2C
723030608234,7,23.475022,B2C
723030605930,9,23.457492,B2C
723030703515,5,23.429381999999997,B2B
723030703747,3,23.412651999999998,B2B
723030700931,6,23.349691999999997,B2C
723030604963,5,23.33248,B2C
723030608071,6,23.288459999999997,B2C
723030702356,8,23.275076,B2C
723030608208,11,23.271936999999998,B2C
723030608324,4,23.230488,B2C
723030702620,4,23.1608,B2C
723030608569,3,23.107484,B2C
723030608056,4,23.06304,B2C
723030700792,11,23.019316,B2C
723030607665,4,22.976776,B2C
723030606327,3,22.81895,B2B
723030605527,4,22.784076,B2B
723030701484,5,22.748558,B2C
723030701745,3,22.729039999999998,B2C
723030702188,3,22.729039999999998,B2C
723030700185,8,22.713997,B2C
723030605178,4,22.672896,B2B
723030701784,4,22.653596,B2C
723030700631,4,22.651692,B2C
723030702159,7,22.605266,B2C
723030603344,6,22.599985999999998,B2C
723030606888,7,22.549173,B2C
723030607660,7,22.547248,B2C
723030607364,4,22.546196,B2B
723030702792,2,22.426975,B2B
723030702775,2,22.426975,B2B
723030700469,5,22.387735999999997,B2C
723030703249,5,22.322699999999998,B2C
723030608213,4,22.249952999999998,B2C
723030700916,6,22.225896,B2C
723030702593,6,22.116941999999998,B2C
723030607545,6,22.078384,B2C
723030607224,5,22.031031,B2C
723030608651,5,21.977592,B2C
723030701796,4,21.953996,B2C
723030600886,5,21.940108,B2C
723030605807,4,21.930112,B2C
723030607843,3,21.922691999999998,B2C
723030700513,4,21.899092,B2B
723030607695,3,21.859775,B2C
723030608334,5,21.832352,B2C
723030701063,8,21.808542,B2C
723030607517,6,21.807745999999998,B2C
723030605957,3,21.688659,B2C
723030607897,2,21.68851,B2B
723030700071,1,21.6876,B2C
723030703092,7,21.594403999999997,B2C
723030700365,3,21.593487999999997,B2C
723030607717,6,21.565812,B2C
723030606884,6,21.482592,B2B
723030701156,5,21.46669,B2B
723030607993,2,21.444192,B2C
723030607098,5,21.416564,B2C
723030608275,10,21.372175,B2C
723030702424,3,21.364687999999997,B2C
723030703376,7,21.3524,B2C
723030702798,12,21.329338999999997,B2C
723030607794,6,21.318095999999997,B2C
723030605668,2,21.312096,B2C
723030703326,5,21.180965999999998,B2C
723030702965,4,21.067591999999998,B2C
723030701827,6,21.050238,B2C
723030700738,2,21.01195,B2C
723030700454,8,20.96157,B2C
723030607362,7,20.824239,B2C
723030702574,6,20.823722999999998,B2C
723030700509,7,20.793606,B2C
723030606729,5,20.713392,B2C
723030703573,11,20.637804,B2C
723030702807,6,20.589244,B2C
723030700282,6,20.565876,B2C
723030605639,5,20.548592,B2C
723030700532,7,20.505945999999998,B2C
723030607547,7,20.496449999999996,B2C
723030703478,2,20.475374999999996,B2C
723030700488,4,20.433275,B2B
723030604409,8,20.422454,B2C
723030606785,5,20.275343999999997,B2C
723030702984,2,20.258575999999998,B2C
723030605341,2,20.258575999999998,B2C
723030606290,6,20.21654,B2C
723030607904,4,20.082408,B2C
723030703396,5,20.003807999999996,B2C
723030703287,11,19.994874,B2C
723030700054,3,19.981735999999998,B2C
723030607767,5,19.939524,B2C
723030606748,3,19.933055999999997,B2C
723030608293,3,19.913871999999998,B2C
723030606736,3,19.859679999999997,B2C
723030605239,6,19.826031999999998,B2C
723030700241,2,19.634999999999998,B2C
723030700614,4,19.608463999999998,B2B
723030703378,5,19.598267999999997,B2C
723030700783,6,19.567266999999998,B2C
723030702864,7,19.504936,B2C
723030702799,4,19.473536,B2B
723030701274,5,19.431126,B2C
723030703110,5,19.390549999999998,B2C
723030701966,5,19.380247999999998,B2C
723030606322,5,19.367632,B2C
723030700309,12,19.252278999999998,B2C
723030701312,6,19.223328,B2C
723030607189,4,19.204096,B2C
723030703377,4,19.194384,B2B
723030608103,14,19.155193,B2C
723030700492,5,19.137888,B2C
723030703627,4,19.112163,B2B
723030605158,6,19.084605,B2C
723030702552,5,19.068492,B2B
723030607821,5,19.056724,B2C
723030606156,5,19.010488,B2C
723030606351,4,18.957096,B2C
723030608162,5,18.863505999999997,B2B
723030702643,6,18.837984,B2C
723030608032,13,18.788459,B2C
723030700818,3,18.753864,B2C
723030603110,3,18.736559999999997,B2C
723030703181,3,18.650544,B2C
723030701425,6,18.63721,B2C
723030701973,6,18.581799999999998,B2C
723030608111,4,18.564170999999998,B2C
723030606314,5,18.527608,B2C
723030605524,4,18.488056,B2C
723030607499,3,18.394750000000002,B2C
723030703297,5,18.392249999999997,B2C
723030606585,5,18.371298,B2B
723030606575,4,18.371278999999998,B2C
723030702064,3,18.359424,B2C
723030703388,2,18.269999999999996,B2B
723030607912,3,18.258899999999997,B2C
723030605956,5,18.170655999999997,B2C
723030703389,5,18.13361,B2C
723030606295,6,18.131051999999997,B2C
723030605020,3,18.120959999999997,B2C
723030703517,6,18.120959999999997,B2C
723030607072,2,18.110656,B2C
723030605834,3,18.082591999999998,B2C
723030700364,4,18.051554,B2C
723030702126,6,18.030382,B2C
723030703252,3,18.0195,B2C
723030702506,4,17.963936,B2C
723030701622,3,17.937996,B2B
723030606110,2,17.915768999999997,B2B
723030604989,3,17.902162,B2C
723030605663,2,17.856544,B2C
723030606821,4,17.855369,B2C
723030700113,11,17.845713,B2C
723030701847,8,17.805661999999998,B2C
723030606483,4,17.783671,B2C
723030703623,5,17.735303,B2C
723030605645,4,17.66246,B2C
723030606095,2,17.626752,B2C
723030702040,5,17.607467999999997,B2C
723030608377,4,17.548693999999998,B2C
723030608362,4,17.510084,B2C
723030700938,6,17.485616,B2C
723030607861,2,17.472096,B2C
723030606941,4,17.470928999999998,B2C
723030608203,6,17.42862,B2C
723030607917,3,17.427696,B2C
723030702862,6,17.421371999999998,B2C
723030607848,7,17.418911,B2C
723030605216,5,17.412952999999998,B2C
723030702013,7,17.402172,B2C
723030600292,6,17.385638,B2C
723030606104,4,17.373776,B2C
723030701674,5,17.279128,B2C
723030605211,6,17.193890999999997,B2C
723030701036,3,17.184783,B2C
723030702120,3,17.166999999999998,B2C
723030703065,5,17.145792,B2C
723030606689,4,17.139671999999997,B2C
723030701082,4,17.135711999999998,B2C
723030703114,4,17.125596,B2C
723030605331,2,17.10324,B2B
723030700304,6,17.076947999999998,B2C
723030700423,3,17.071875,B2C
723030703438,4,17.016499,B2C
723030701623,4,16.998384,B2C
723030702877,5,16.949602,B2B
723030700221,4,16.933438,B2C
723030607194,4,16.928729,B2C
723030607358,7,16.88947,B2C
723030703240,2,16.8866,B2C
723030605971,7,16.879369999999998,B2C
723030608119,5,16.847307,B2C
723030700120,6,16.825888,B2C
723030703319,4,16.8151,B2C
723030702830,3,16.798949999999998,B2C
723030702046,5,16.723018,B2C
723030702608,3,16.705084,B2B
723030703160,5,16.692472,B2B
723030608021,5,16.686383999999997,B2C
723030701960,2,16.6859,B2B
723030605051,5,16.68114,B2B
723030702968,2,16.601156,B2C
723030608307,3,16.554472,B2C
723030700137,3,16.5195,B2C
723030701335,6,16.514115999999998,B2C
723030702338,5,16.512152,B2C
723030608578,5,16.493818,B2C
723030701434,4,16.479,B2C
723030702250,4,16.476616,B2B
723030702520,7,16.456011999999998,B2C
723030702039,5,16.446064,B2C
723030505078,5,16.444906,B2C
723030605374,5,16.425962,B2C
723030703607,3,16.415768,B2B
723030700762,2,16.4148,B2C
723030701978,2,16.4148,B2B
723030605660,4,16.37864,B2B
723030606217,4,16.364275,B2C
723030606986,4,16.362375,B2C
723030608260,4,16.35054,B2C
723030701998,4,16.34328,B2C
723030701974,4,16.327876,B2C
723030701911,4,16.327876,B2C
723030501912,2,16.308864,B2C
723030606064,2,16.270495999999998,B2B
723030606480,2,16.270495999999998,B2B
723030606190,2,16.266338,B2B
723030702475,6,16.228786,B2B
723030606568,2,16.209864,B2C
723030606801,2,16.1864,B2C
723030605906,2,16.1864,B2B
723030700795,3,16.126768,B2B
723030701577,4,16.108597,B2C
723030606420,10,16.089772,B2B
723030702562,2,16.087906999999998,B2C
723030606431,2,16.070999999999998,B2C
723030606342,2,16.070999999999998,B2C
723030703574,2,16.031399999999998,B2C
723030606647,2,16.031399999999998,B2C
723030703612,3,16.008684,B2C
723030605198,3,15.995999999999999,B2B
723030605000,2,15.975767999999999,B2C
723030701681,2,15.9284,B2B
723030605033,3,15.926192,B2B
723030607569,3,15.917450999999998,B2C
723030702632,6,15.889997999999999,B2C
723030700425,8,15.868013,B2C
